lemma	pos	count
かける	VERB	2087
的	PART	2072
よく	ADV	2064
1	NUM	2062
けど	SCONJ	2035
いい	AUX	2001
者	NOUN	1988
つ	NOUN	1959
気	NOUN	1948
すぐ	ADV	1919
出す	VERB	1862
2	NUM	1861
今日	NOUN	1861
取る	VERB	1859
よい	ADJ	1853
英語	NOUN	1840
いつも	PRON	1797
3	NUM	1796
入る	VERB	1776
問題	NOUN	1750
読む	VERB	1747
べし	AUX	1740
いける	VERB	1730
学校	NOUN	1721
フランス	PROPN	1706
部屋	NOUN	1703
事	NOUN	1701
ため	NOUN	1699
まだ	ADV	1691
そう	AUX	1684
本当	NOUN	1676
ところ	NOUN	1667
・	SYM	1667
書く	VERB	1661
いく	VERB	1616
さ	PART	1601
目	NOUN	1586
我々	PRON	1585
みる	VERB	1580
手	NOUN	1561
わかる	VERB	1556
に	AUX	1540
とき	NOUN	1519
いつ	PRON	1517
分かる	VERB	1514
よう	NOUN	1504
話	NOUN	1502
そんな	PRON	1460
新しい	ADJ	1460
今	ADV	1449
雨	NOUN	1442
使う	VERB	1409
そこ	PRON	1407
の	PART	1384
そう	ADV	1381
ず	AUX	1370
悪い	ADJ	1370
少し	ADV	1367
住む	VERB	1361
ご	NOUN	1360
考える	VERB	1355
待つ	VERB	1335
とる	VERB	1333
って	AUX	1322
父	NOUN	1320
何	NUM	1319
先生	NOUN	1307
犬	NOUN	1289
下さる	AUX	1284
飲む	VERB	1276
おく	VERB	1274
今	NOUN	1259
見える	VERB	1245
良い	ADJ	1244
間	NOUN	1229
合う	VERB	1212
つもり	NOUN	1195
高い	ADJ	1187
立つ	VERB	1184
勉強	VERB	1177
受ける	VERB	1169
教える	VERB	1163
かかる	VERB	1160
帰る	VERB	1155
入れる	VERB	1149
寝る	VERB	1149
月	NOUN	1149
後	NOUN	1139
上	NOUN	1134
友達	NOUN	1131
忘れる	VERB	1127
男	NOUN	1117
だけ	ADP	1111
ちゃう	AUX	1109
もっと	ADV	1105
もらう	VERB	1099
10	NUM	1098
手紙	NOUN	1098
つける	VERB	1097
電話	NOUN	1087
ため	SCONJ	1086
早い	ADJ	1071
だけ	PART	1068
うち	NOUN	1063
よる	VERB	1055
多く	NOUN	1049
働く	VERB	1041
すぎる	VERB	1040
?	PART	1038
降る	VERB	1038
一緒	NOUN	1037
わ	PART	1027
同じ	ADJ	1015
ちょっと	ADV	1005
あげる	VERB	1001
作る	VERB	1000
水	NOUN	998
だ	ADP	995
乗る	VERB	992
歩く	VERB	990
一番	ADV	977
国	NOUN	969
俺	PRON	967
着く	VERB	963
二	NUM	956
計画	NOUN	948
名前	NOUN	947
始める	VERB	947
や	ADP	940
アメリカ	PROPN	939
バス	NOUN	927
子	NOUN	914
分	NOUN	909
昨日	ADV	907
事故	NOUN	899
必要	NOUN	898
世界	NOUN	894
必要	ADJ	891
長い	ADJ	889
母	NOUN	872
5	NUM	849
歳	NOUN	848
病気	NOUN	844
テレビ	NOUN	837
死ぬ	VERB	834
一人	NOUN	831
言葉	NOUN	831
って	PART	826
多い	ADJ	822
明日	NOUN	822
駅	NOUN	822
終わる	VERB	812
医者	NOUN	811
少年	NOUN	803
映画	NOUN	802
機	NOUN	802
ずっと	ADV	797
会社	NOUN	794
店	NOUN	793
パーティー	NOUN	778
しれる	VERB	776
込む	VERB	774
度	NOUN	771
どの	DET	766
もし	ADV	758
ボストン	PROPN	755
若い	ADJ	754
結婚	VERB	753
くらい	ADP	751
起きる	VERB	747
たくさん	ADV	744
不	NOUN	744
遅れる	VERB	744
次	NOUN	737
あまり	ADV	736
やめる	VERB	735
息子	NOUN	734
どんな	PRON	731
ほとんど	ADV	730
大きな	ADJ	729
試験	NOUN	729
頭	NOUN	728
うまい	ADJ	726
道	NOUN	726
猫	NOUN	724
ほう	NOUN	715
コーヒー	NOUN	712
顔	NOUN	711
学生	NOUN	704
引く	VERB	704
人間	NOUN	700
走る	VERB	699
心	NOUN	696
他	NOUN	692
人々	NOUN	691
難しい	ADJ	690
座る	VERB	689
まで	PART	688
ドア	NOUN	688
起こる	VERB	687
なん	PRON	685
ほど	PART	683
信ずる	VERB	682
呼ぶ	VERB	680
美しい	ADJ	676
みんな	ADV	674
通り	NOUN	671
ほど	ADP	667
町	NOUN	662
大学	NOUN	661
大	NOUN	652
生活	NOUN	651
ながら	SCONJ	645
大きい	ADJ	645
夜	NOUN	643
音楽	NOUN	640
願う	VERB	639
落ちる	VERB	637
お前	PRON	636
手伝う	VERB	636
旅行	NOUN	633
み	NOUN	630
所	NOUN	629
忙しい	ADJ	625
わけ	NOUN	623
上げる	VERB	621
生きる	VERB	621
なんて	PART	620
花	NOUN	618
物	NOUN	617
飛行	NOUN	615
着る	VERB	613
また	ADV	612
戻る	VERB	612
毎日	ADV	612
こんな	PRON	607
ジョン	PROPN	607
東京	PROPN	606
ドル	NOUN	603
昨日	NOUN	601
見つける	VERB	600
女性	NOUN	595
でる	AUX	594
力	NOUN	593
泣く	VERB	593
対する	VERB	591
なん	SCONJ	590
しか	ADP	588
家族	NOUN	588
木	NOUN	586
楽しい	ADJ	586
雪	NOUN	584
両親	NOUN	583
山	NOUN	582
明日	ADV	582
送る	VERB	579
切る	VERB	577
全く	ADV	576
そんな	ADJ	573
考え	NOUN	572
出発	VERB	571
どれ	PRON	570
6	NUM	569
写真	NOUN	568
たくさん	ADJ	564
寒い	ADJ	562
川	NOUN	562
意見	NOUN	560
に	PART	558
回	NOUN	558
時計	NOUN	558
電車	NOUN	557
疲れる	VERB	551
よい	AUX	550
今日	ADV	550
覚える	VERB	550
怒る	VERB	549
生徒	NOUN	547
ひどい	ADJ	545
得る	VERB	544
開ける	VERB	544
違う	VERB	543
非常	ADJ	543
すべて	NOUN	542
いただける	VERB	541
列車	NOUN	541
笑う	VERB	541
料理	NOUN	540
すごい	ADJ	539
女の子	NOUN	538
動物	NOUN	537
外国	NOUN	537
与える	VERB	535
朝	NOUN	534
館	NOUN	534
どちら	PRON	531
話せる	VERB	530
成功	VERB	529
大好き	ADJ	526
窓	NOUN	525
なぜ	ADV	524
天気	NOUN	523
続ける	VERB	519
電話	VERB	517
ありがとう	ADJ	514
理解	VERB	514
意味	NOUN	513
人生	NOUN	512
警察	NOUN	511
夢	NOUN	510
4	NUM	509
口	NOUN	508
外	NOUN	508
友人	NOUN	507
二人	NOUN	506
生まれる	VERB	506
驚く	VERB	506
上手	ADJ	505
ぞ	PART	504
置く	VERB	504
週間	NOUN	503
遊ぶ	VERB	503
強い	ADJ	501
試合	NOUN	499
テニス	NOUN	498
変わる	VERB	498
必ず	ADV	498
探す	VERB	496
頃	NOUN	496
飛ぶ	VERB	494
親切	ADJ	491
全部	ADV	489
三	NUM	488
質問	NOUN	487
行う	VERB	485
たり	PART	484
声	NOUN	483
決める	VERB	480
音	NOUN	480
母さん	NOUN	479
正しい	ADJ	478
もらえる	VERB	477
払う	VERB	477
自転車	NOUN	475
開く	VERB	475
懸命	ADJ	473
わたし	PRON	471
会	NOUN	470
決して	ADV	469
あれ	PRON	468
上がる	VERB	467
娘	NOUN	467
宿題	NOUN	466
絵	NOUN	466
色	NOUN	463
す	VERB	462
聞こえる	VERB	460
日曜	NOUN	457
見せる	VERB	456
小説	NOUN	455
服	NOUN	455
欲しい	ADJ	455
結果	NOUN	455
ある	PRON	454
はず	NOUN	454
みたい	AUX	454
場所	NOUN	453
点	NOUN	453
し	SCONJ	451
貸す	VERB	451
関係	NOUN	451
円	NOUN	449
性	NOUN	449
可能	ADJ	448
初めて	ADV	447
助ける	VERB	447
父さん	NOUN	447
重要	ADJ	447
過ぎる	VERB	446
出来る	VERB	445
夏	NOUN	444
足	NOUN	444
体	NOUN	443
泳ぐ	VERB	443
オーストラリア	PROPN	441
似る	VERB	441
立てる	VERB	440
あいつ	PRON	439
時代	NOUN	439
ホテル	NOUN	438
一生	ADV	438
求める	VERB	438
生	NOUN	438
公園	NOUN	437
愛する	VERB	437
速い	ADJ	437
面白い	ADJ	435
簡単	ADJ	434
深い	ADJ	433
みんな	NOUN	432
すむ	VERB	431
勉強	NOUN	431
魚	NOUN	431
終える	VERB	428
らしい	AUX	426
古い	ADJ	426
理由	NOUN	426
30	NUM	425
選ぶ	VERB	425
新聞	NOUN	422
授業	NOUN	421
辞書	NOUN	421
予定	NOUN	420
付く	VERB	420
嘘	NOUN	420
学ぶ	VERB	420
守る	VERB	419
最近	ADV	419
少女	NOUN	416
数	NUM	414
近く	NOUN	412
興味	NOUN	407
靴	NOUN	407
きれい	ADJ	406
健康	NOUN	405
幸せ	ADJ	405
まま	NOUN	403
食事	NOUN	403
ござる	VERB	402
妻	NOUN	402
箱	NOUN	402
船	NOUN	402
午後	NOUN	401
暑い	ADJ	400
薬	NOUN	398
7	NUM	397
下	NOUN	397
クラス	NOUN	396
気分	NOUN	396
背	NOUN	394
いくら	ADV	393
気持ち	NOUN	393
注意	NOUN	393
答える	VERB	393
頼む	VERB	392
過ごす	VERB	390
知らせ	NOUN	389
運転	NOUN	389
小さな	ADJ	387
勝つ	VERB	386
付ける	VERB	385
急ぐ	VERB	385
大変	ADV	384
など	ADP	381
小さい	ADJ	381
いく	NUM	380
書	NOUN	377
有名	ADJ	377
説明	VERB	373
返す	VERB	373
やすい	AUX	372
少ない	ADJ	372
ドイツ	PROPN	370
始まる	VERB	370
痛い	ADJ	369
自由	ADJ	368
会議	NOUN	367
君	NOUN	367
弟	NOUN	367
最後	NOUN	367
止める	VERB	367
風邪	NOUN	367
歌	NOUN	366
欲しい	AUX	365
間違う	VERB	365
空	NOUN	364
野球	NOUN	364
鍵	NOUN	364
妹	NOUN	363
約束	NOUN	362
起こす	VERB	362
夕食	NOUN	361
最初	NOUN	361
母親	NOUN	361
鳥	NOUN	360
だれ	PRON	359
ちょうど	ADV	359
ただ	ADV	357
失う	VERB	357
最も	ADV	357
それ	CCONJ	356
大切	ADJ	356
誕生	NOUN	355
事実	NOUN	354
関する	VERB	354
テーブル	NOUN	351
喜ぶ	VERB	351
困る	VERB	351
歌う	VERB	351
戦争	NOUN	350
向かう	VERB	348
客	NOUN	348
成功	NOUN	348
こちら	PRON	347
まったく	ADV	347
出来る	AUX	347
言語	NOUN	347
チーム	NOUN	346
眠る	VERB	346
ケーキ	NOUN	344
兄	NOUN	344
役	NOUN	344
心配	VERB	344
なあ	PART	343
価値	NOUN	343
十分	ADJ	343
方法	NOUN	342
遅い	ADJ	342
感ずる	VERB	341
政治	NOUN	341
海	NOUN	341
ばかり	PART	340
以上	NOUN	340
酒	NOUN	340
金持ち	NOUN	340
父親	NOUN	338
文	NOUN	337
追う	VERB	333
責任	NOUN	332
失敗	VERB	331
結婚	NOUN	331
こう	ADV	330
楽しむ	VERB	328
昔	NOUN	327
他人	NOUN	326
変える	VERB	326
打つ	VERB	326
注意	VERB	325
8	NUM	324
冬	NOUN	323
消す	VERB	323
庭	NOUN	321
月曜	NOUN	321
借りる	VERB	320
帽子	NOUN	320
様	NOUN	319
身	NOUN	319
かなり	ADV	318
安い	ADJ	318
耳	NOUN	318
ピアノ	NOUN	317
場合	NOUN	317
女	NOUN	317
男の子	NOUN	316
間違い	NOUN	316
おる	VERB	315
きっと	ADV	315
席	NOUN	315
間に合う	VERB	315
パン	NOUN	313
病院	NOUN	313
運転	VERB	313
ぐらい	ADP	312
今年	NOUN	312
進む	VERB	312
たがる	AUX	311
太陽	NOUN	311
突然	ADV	310
伝える	VERB	309
全然	ADV	309
風	NOUN	309
ニュース	NOUN	306
一度	NOUN	306
互い	NOUN	306
行ける	VERB	306
20	NUM	305
吸う	VERB	304
机	NOUN	304
到着	VERB	303
また	CCONJ	302
第	NOUN	302
銀行	NOUN	302
科学	NOUN	301
認める	VERB	301
も	SCONJ	300
タバコ	NOUN	300
ロンドン	PROPN	300
別	ADJ	299
残る	VERB	299
食べ物	NOUN	299
押す	VERB	298
図書	NOUN	297
売る	VERB	297
社会	NOUN	297
ちゃん	NOUN	296
ひく	VERB	296
交通	NOUN	296
静か	ADJ	296
とも	NOUN	294
大丈夫	ADJ	294
以上	ADV	293
親	NOUN	293
しかし	CCONJ	292
カメラ	NOUN	292
元気	ADJ	290
市	NOUN	290
休む	VERB	289
傘	NOUN	289
出席	VERB	289
努力	NOUN	289
中国	PROPN	288
先	NOUN	288
去る	VERB	288
洗う	VERB	287
もつ	VERB	286
すべて	ADV	285
そして	CCONJ	285
続く	VERB	285
どうぞ	ADV	283
盗む	VERB	283
逃げる	VERB	283
おかげ	NOUN	281
直す	VERB	281
髪	NOUN	281
事件	NOUN	280
年間	NOUN	279
道路	NOUN	279
慣れる	VERB	278
老人	NOUN	278
ばかり	ADP	277
せい	NOUN	276
学	NOUN	276
赤ちゃん	NOUN	276
士	NOUN	275
子ども	NOUN	275
なし	NOUN	274
茶	NOUN	274
通る	VERB	274
ついに	ADV	273
正直	ADJ	273
火	NOUN	273
経済	NOUN	273
全て	NOUN	272
姉	NOUN	271
情報	NOUN	271
楽しい	NOUN	271
何時	NOUN	270
暮らす	VERB	270
無い	ADJ	270
皆	NOUN	270
2人	NOUN	269
動く	VERB	269
ワイン	NOUN	268
怖い	ADJ	267
残念	ADJ	267
調べる	VERB	267
数学	NOUN	266
腕	NOUN	265
許す	VERB	265
男性	NOUN	264
研究	NOUN	264
離れる	VERB	264
世話	NOUN	263
政府	NOUN	263
腹	NOUN	263
訪ねる	VERB	263
限り	NOUN	263
かしら	PART	262
嫌い	ADJ	262
暗い	ADJ	262
時々	ADV	261
歯	NOUN	261
相手	NOUN	261
ビール	NOUN	260
かわいい	ADJ	259
だ	CCONJ	259
まず	ADV	259
ゆっくり	ADV	259
地球	NOUN	259
連れる	VERB	259
ドレス	NOUN	258
赤い	ADJ	257
ニューヨーク	PROPN	256
利用	VERB	256
従う	VERB	256
無駄	ADJ	255
行動	NOUN	255
訪れる	VERB	255
ゲーム	NOUN	254
卵	NOUN	254
実	NOUN	254
朝食	NOUN	254
うれしい	ADJ	253
名	NOUN	253
空港	NOUN	253
いただく	AUX	252
で	CCONJ	252
なぁ	PART	252
われわれ	PRON	252
氏	NOUN	252
真実	NOUN	252
一度	ADV	251
夫	NOUN	251
運動	NOUN	251
準備	NOUN	250
コンピューター	NOUN	249
ペン	NOUN	249
途中	NOUN	249
鳴る	VERB	249
イギリス	PROPN	248
ヶ月	NOUN	248
冗談	NOUN	248
返事	NOUN	248
村	NOUN	247
気づく	VERB	247
赤ん坊	NOUN	247
ちゃ	AUX	246
建物	NOUN	246
ほしい	AUX	245
スポーツ	NOUN	245
扱う	VERB	245
おいしい	ADJ	244
枚	NOUN	244
運ぶ	VERB	244
すばらしい	ADJ	243
危険	ADJ	243
尋ねる	VERB	243
教師	NOUN	243
パリ	PROPN	242
レストラン	NOUN	242
半	NOUN	242
タクシー	NOUN	241
隣	NOUN	241
とく	VERB	240
回る	VERB	240
式	NOUN	240
用	NOUN	240
番号	NOUN	240
目的	NOUN	240
9	NUM	239
はっきり	ADV	239
習う	VERB	239
合格	VERB	238
員	NOUN	238
渡る	VERB	238
あらゆる	DET	236
がる	PART	236
よろしい	ADJ	236
テスト	NOUN	236
死	NOUN	236
習慣	NOUN	236
なんて	ADP	235
ジェーン	PROPN	235
姿	NOUN	235
番	NOUN	235
選手	NOUN	235
春	NOUN	234
降りる	VERB	234
高校	NOUN	233
海外	NOUN	232
外出	VERB	231
神	NOUN	231
肉	NOUN	231
って	SCONJ	230
やっと	ADV	230
プレゼント	NOUN	230
今度	NOUN	230
無	NOUN	230
亡くなる	VERB	229
合わせる	VERB	229
教育	NOUN	229
満足	VERB	229
街	NOUN	229
ビル	NOUN	228
実際	NOUN	228
出身	NOUN	227
品	NOUN	227
人気	NOUN	226
提案	NOUN	226
橋	NOUN	226
機械	NOUN	226
馬	NOUN	226
しばらく	ADV	225
件	NOUN	225
休暇	NOUN	225
買い物	NOUN	225
どんな	ADJ	224
まるで	ADV	224
失敗	NOUN	224
数	NOUN	224
近い	ADJ	224
させる	AUX	223
経験	NOUN	223
落とす	VERB	223
限る	VERB	223
吹く	VERB	222
嫌	ADJ	222
けれど	SCONJ	221
パソコン	NOUN	221
今夜	NOUN	221
助け	NOUN	221
約束	VERB	221
いたす	AUX	220
さえ	ADP	220
京都	PROPN	220
地震	NOUN	220
歴史	NOUN	220
荷物	NOUN	220
違い	VERB	220
郵便	NOUN	220
コンサート	NOUN	219
床	NOUN	219
湖	NOUN	219
都市	NOUN	219
ベッド	NOUN	218
場	NOUN	218
止まる	VERB	218
絶対	NOUN	218
飼う	VERB	218
なれる	VERB	217
値段	NOUN	217
散歩	NOUN	217
登る	VERB	217
白い	ADJ	217
とも	SCONJ	215
ま	NOUN	215
冊	NOUN	215
空気	NOUN	215
地	NOUN	214
嬉しい	ADJ	214
捨てる	VERB	214
答え	NOUN	214
こんな	ADJ	213
昼食	NOUN	213
結局	ADV	213
参加	VERB	212
昨夜	ADV	212
コート	NOUN	211
シャツ	NOUN	211
皆	ADV	210
秘密	NOUN	210
美味しい	ADJ	210
お腹	NOUN	209
ころ	NOUN	209
味	NOUN	209
殺す	VERB	209
涙	NOUN	209
激しい	ADJ	209
確か	ADJ	209
くらい	PART	208
なくなる	VERB	208
一般	NOUN	208
単語	NOUN	208
自動車	NOUN	208
黙る	VERB	208
なくす	VERB	207
ラジオ	NOUN	207
弾く	VERB	207
ごめん	NOUN	206
寄る	VERB	206
警官	NOUN	206
どっち	PRON	205
カナダ	PROPN	205
代	NOUN	205
会合	NOUN	205
健康	ADJ	205
振る	VERB	205
部	NOUN	205
より	ADV	204
壁	NOUN	204
変	ADJ	204
張る	VERB	204
昼	NOUN	204
すっかり	ADV	203
大統領	NOUN	203
閉める	VERB	203
間違える	VERB	203
サッカー	NOUN	202
感じ	NOUN	202
頑張る	VERB	202
倍	NOUN	201
帰宅	VERB	201
広い	ADJ	201
牛乳	NOUN	201
規則	NOUN	201
階	NOUN	201
100	NUM	200
しばしば	ADV	200
全員	NOUN	200
原因	NOUN	200
我慢	VERB	200
種	NOUN	200
見つかる	VERB	200
上手い	ADJ	199
屋	NOUN	199
星	NOUN	199
森	NOUN	199
言える	VERB	199
以前	NOUN	198
年齢	NOUN	198
描く	VERB	198
無理	ADJ	198
自身	NOUN	198
迎える	VERB	198
1人	NOUN	197
紙	NOUN	197
ヨーロッパ	PROPN	196
個	NOUN	196
完全	ADJ	196
悲しい	ADJ	196
明らか	ADJ	196
暖かい	ADJ	195
大変	ADJ	194
影響	NOUN	194
解く	VERB	194
趣味	NOUN	194
『	PUNCT	193
』	PUNCT	193
あんな	PRON	193
い	PART	193
届く	VERB	193
負ける	VERB	193
ほか	NOUN	192
スキー	NOUN	192
ボール	NOUN	192
以外	NOUN	192
労働	NOUN	192
匹	NOUN	192
得意	ADJ	192
望む	VERB	192
若者	NOUN	192
重い	ADJ	192
たいてい	ADV	191
状態	NOUN	191
しゃべる	VERB	190
ず	SCONJ	190
危険	NOUN	190
平和	NOUN	189
法律	NOUN	189
示す	VERB	189
詩	NOUN	189
財布	NOUN	189
買える	VERB	189
青い	ADJ	189
たいへん	ADV	188
なかなか	ADV	188
みな	ADV	188
教会	NOUN	188
火事	NOUN	188
五	NUM	187
尽くす	VERB	187
敵	NOUN	187
明日	PRON	187
近づく	VERB	187
遅刻	VERB	187
いかが	ADJ	186
ぼく	PRON	186
スペイン	PROPN	186
島	NOUN	186
機会	NOUN	186
砂糖	NOUN	186
あまり	ADJ	185
法	NOUN	185
申す	VERB	185
貧しい	ADJ	185
会える	VERB	184
態度	NOUN	184
状況	NOUN	184
住所	NOUN	183
叔父	NOUN	183
愛	NOUN	183
て	ADP	182
切れる	VERB	182
さえ	PART	181
代わり	NOUN	181
分ける	VERB	181
割る	VERB	181
命	NOUN	181
歌手	NOUN	181
調子	NOUN	181
賢い	ADJ	181
ケン	PROPN	180
休み	NOUN	180
毎朝	ADV	180
現れる	VERB	180
能力	NOUN	180
通う	VERB	180
ボブ	PROPN	179
いっぱい	ADJ	178
十	NUM	178
恥ずかしい	ADJ	178
あと	NOUN	177
こそ	ADP	177
優しい	ADJ	177
増える	VERB	177
実	ADV	177
消える	VERB	177
滞在	VERB	177
50	NUM	176
ちゃんと	ADV	176
カード	NOUN	176
リンゴ	NOUN	176
旅行	VERB	176
スープ	NOUN	175
投げる	VERB	175
掛ける	VERB	175
明るい	ADJ	175
迷う	VERB	175
事務	NOUN	174
今朝	ADV	174
弁護	NOUN	174
渡す	VERB	174
空く	VERB	174
ひと	NUM	173
クリスマス	NOUN	173
事業	NOUN	173
当たる	VERB	173
感謝	VERB	173
主義	NOUN	172
人口	NOUN	172
偉大	ADJ	172
皿	NOUN	172
部分	NOUN	172
電気	NOUN	172
12	NUM	171
ほとんど	NOUN	171
めっちゃ	ADV	171
イタリア	PROPN	171
尊敬	VERB	171
曲	NOUN	171
知識	NOUN	171
遠い	ADJ	171
スミス	PROPN	170
化	NOUN	170
同意	VERB	170
最近	NOUN	170
泥棒	NOUN	170
ひとり	NOUN	169
やさしい	ADJ	169
努力	VERB	169
国民	NOUN	169
当てる	VERB	169
抱く	VERB	169
携帯	NOUN	169
説明	NOUN	169
内	NOUN	168
大いに	ADV	168
大阪	PROPN	168
宇宙	NOUN	168
後ろ	NOUN	168
戻す	VERB	168
断る	VERB	168
旅	NOUN	168
残す	VERB	168
財産	NOUN	168
あそこ	PRON	167
クラブ	NOUN	167
兄弟	NOUN	167
厳しい	ADJ	167
正確	ADJ	167
素晴らしい	ADJ	167
線	NOUN	167
罪	NOUN	167
詳しい	ADJ	167
誤り	NOUN	167
隠す	VERB	167
おじ	NOUN	166
おもしろい	ADJ	166
むしろ	ADV	166
ナイフ	NOUN	166
新	NOUN	166
給料	NOUN	166
週末	NOUN	166
忠告	NOUN	165
思える	VERB	165
才能	NOUN	165
泊まる	VERB	165
素敵	ADJ	165
風呂	NOUN	165
委員	NOUN	164
嵐	NOUN	164
抜ける	VERB	164
援助	NOUN	164
日間	NOUN	164
連絡	NOUN	164
鉛筆	NOUN	164
甘い	ADJ	163
読書	NOUN	163
釣り	NOUN	163
閉じる	VERB	163
工場	NOUN	162
思い	NOUN	162
恐れる	VERB	162
等	NOUN	162
約	NOUN	162
だめ	ADJ	161
勇気	NOUN	161
土曜	NOUN	161
息	NOUN	161
次第	NOUN	161
短い	ADJ	161
と	PART	160
もん	NOUN	160
丘	NOUN	160
冷たい	ADJ	160
室	NOUN	160
建てる	VERB	160
撮る	VERB	160
聴く	VERB	160
通す	VERB	160
もちろん	ADV	159
ジム	PROPN	159
壊れる	VERB	159
大事	ADJ	159
常	NOUN	159
泳げる	VERB	159
石	NOUN	159
違い	NOUN	159
雑誌	NOUN	159
そろそろ	ADV	158
とこ	NOUN	158
切符	NOUN	158
患者	NOUN	158
田舎	NOUN	158
遠く	NOUN	158
ばあ	NOUN	157
椅子	NOUN	157
熱	NOUN	157
苦手	ADJ	157
行為	NOUN	157
解決	VERB	157
連絡	VERB	157
すぎ	PART	156
杯	NOUN	156
祖父	NOUN	156
謝る	VERB	156
集める	VERB	156
メール	NOUN	155
不足	NOUN	155
夏休み	NOUN	155
当然	ADJ	155
最高	ADJ	155
酔う	VERB	155
たつ	VERB	154
ギター	NOUN	154
上司	NOUN	154
光	NOUN	154
収入	NOUN	154
地図	NOUN	154
御	NOUN	154
散歩	VERB	154
申し訳	NOUN	154
招待	VERB	153
横	NOUN	153
向ける	VERB	152
噂	NOUN	152
太る	VERB	152
環境	NOUN	152
こっち	PRON	151
する	SCONJ	151
と	NOUN	151
なんて	AUX	151
作家	NOUN	151
先週	ADV	151
地域	NOUN	151
多分	ADV	151
実行	VERB	151
終わり	NOUN	151
翻訳	VERB	151
首	NOUN	151
%	NOUN	150
しっかり	ADV	150
じゃん	AUX	150
ますます	ADV	150
トイレ	NOUN	150
曲がる	VERB	150
台所	NOUN	149
暇	NOUN	149
たとえ	ADV	148
今朝	NOUN	148
午前	NOUN	148
台	NOUN	148
周り	NOUN	148
訳す	VERB	148
説得	VERB	148
読める	VERB	148
野菜	NOUN	148
すでに	ADV	147
なに	PRON	147
やつ	NOUN	146
マイル	NOUN	146
信じる	VERB	146
文化	NOUN	146
晴れる	VERB	146
ボタン	NOUN	145
全体	NOUN	145
加える	VERB	145
壊す	VERB	145
奴	NOUN	145
局	NOUN	145
後悔	VERB	145
指	NOUN	145
来週	ADV	145
来週	NOUN	145
浮かぶ	VERB	145
秋	NOUN	145
賛成	VERB	145
足りる	VERB	145
週	NOUN	145
かつて	ADV	144
たばこ	NOUN	144
も	NOUN	144
今夜	ADV	144
低い	ADJ	144
体重	NOUN	144
使える	VERB	144
喫煙	NOUN	144
国際	NOUN	144
大人	NOUN	144
天候	NOUN	144
嫌い	NOUN	144
官	NOUN	144
将来	NOUN	144
庫	NOUN	144
教室	NOUN	144
案	NOUN	144
立派	ADJ	144
紹介	VERB	144
信用	VERB	143
出せる	VERB	143
果たす	VERB	143
育つ	VERB	143
胸	NOUN	143
詩人	NOUN	143
辺	NOUN	143
願い	NOUN	143
ネクタイ	NOUN	142
取れる	VERB	142
希望	NOUN	142
形	NOUN	142
感	NOUN	142
決まる	VERB	142
王	NOUN	142
留守	NOUN	142
痛い	NOUN	142
議論	NOUN	142
過去	NOUN	142
あう	VERB	141
